Duration,Status,No. of previous failures,LENGTH,A_DIAM,Year,PRESSURE(bar),Failure Year,AADT (traffic) ( When failure occurred ),Mean Dew Point (deg. C) ( When failure occurred ),Mean Relative Humidity (%) ( When failure occurred ),Total Rainfall (mm) ( When failure occurred ),LANDUSE,LPR_Corros,A_MAT,TYPE,FAULT_TYPE,DEFECT1LV1,DEF_NATURE
27,1,0,4.181,150,1984,6.36,2011,20240,24.4,82,375.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C03,M
3,1,0,13.541,150,2014,6.72,2017,8820,15.7,81,48,URBAN,Mildly Corrosive,PE,FOOTWAY,BURST,C02,J
28,1,0,29.618,600,1988,5.2,2016,2770,23.1,85,535.5,URBAN,Mildly Corrosive,S,CARRIAGEWAY,BURST,C01,M
7,1,0,1.562,80,2006,7.09,2013,26430,24.9,83,389.5,URBAN,Non-Corrosive,PE,Other Location,BURST,C01,M
3,1,0,1.427,50,2009,7.02,2012,9050,24.1,85,260,URBAN,Mildly Corrosive,SS,FOOTWAY,BURST,C03,J
6,1,0,5.297,100,2015,7.7,2021,18860,25.9,85,660.5,URBAN,Mildly Corrosive,PE,FOOTWAY,BURST,C01,M
14,1,0,4.37,150,2006,3.63,2020,10350,25.3,84,708.8,URBAN,Non-Corrosive,PE,FOOTWAY,BURST,C01,M
32,1,0,5.669,150,1980,12.2,2012,16680,25,84,395.5,URBAN,Mildly Corrosive,DI,FOOTWAY,BURST,C03,J
28,1,0,7.604,300,1990,12.52,2018,30260,,,43.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C05,J
27,1,0,11.756,150,1983,12.48,2010,5620,10,63,19,URBAN,Mildly Corrosive,DI,FOOTWAY,BURST,C01,J
6,1,0,2.724,200,2004,6.54,2010,,,,,URBAN,Non-Corrosive,DI,CARRIAGEWAY,BURST,C01,M
18,1,0,51.196,150,1992,7.1,2010,46630,21.2,89,230.5,WATERBODY,Mildly Corrosive,DI,FOOTWAY,BURST,C03,M
40,1,0,47.736,150,1973,7.03,2013,15230,18.5,78,31.1,URBAN,Mildly Corrosive,S,CARRIAGEWAY,BURST,C03,M
19,1,0,55.464,150,1992,7.03,2011,14510,16.4,80,17.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C05,M
